id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
16511289,Cozy & spacious app close to centre and Airport!!!,6418619,Henk,,Nieuw - Kwartier Oost,51.18005,4.43945,Entire home/apt,120,14,3,2018-05-20,0.03,2,54,0,
16610326,Nice penthouse/ family room with parking,109618168,Chantal & Christian,,Borgerhout Intra Muros Noord,51.2171,4.432,Private room,91,2,63,2025-08-10,0.61,4,219,5,
16612557,Duplex Apartment with Garden and Free parking,37716821,Andras Lars L,,Valaar,51.17885,4.3737,Entire home/apt,150,3,80,2023-08-31,0.78,1,325,0,
16630701,Amazing and Cozy Apartment,103947136,Charissa,,Universiteitsbuurt,51.22003,4.40823,Entire home/apt,188,1,85,2024-07-22,0.80,1,203,0,
16646044,Design room in the city centre of Antwerp,98500039,Isabelle,,Theaterbuurt-Meir,51.21539,4.40448,Private room,173,1,7,2025-04-13,0.07,1,85,1,
16700193,2Bedroom Mid century park view apartment,511187,Julie,,Harmonie,51.19908,4.41219,Entire home/apt,147,1,73,2025-09-21,0.73,1,93,6,
16733927,"Cosy family house with garden, centre of Antwerp",66092254,Bram,,Linkeroever,51.22059,4.38483,Entire home/apt,,2,11,2023-07-18,0.11,1,0,0,
16833815,Very cozy apartment,110993942,Rev,,Amandus - Atheneum,51.21905,4.42299,Entire home/apt,115,2,30,2024-12-16,0.29,16,346,1,
16851403,Beautiful house to enjoy an Antwerp family-holiday,7611440,Riet,,Borgerhout Extra Muros,51.19847,4.45257,Entire home/apt,195,7,10,2022-08-11,0.10,1,0,0,
17096268,"Suite ""Victorian Classic"" - with terrace",38724058,Anatoly,,Brederode,51.20608,4.40247,Entire home/apt,126,1,28,2025-04-21,0.27,3,62,1,
17756295,Beautiful 2 bedroom apartment III,110993942,Rev,,Amandus - Atheneum,51.21885,4.4225,Entire home/apt,135,2,73,2025-09-07,0.71,16,306,4,
17911859,19th century house | historic centre | 10 people |,4113286,Kathleen,,Historisch Centrum,51.2189,4.39941,Entire home/apt,596,2,87,2025-06-02,0.90,2,240,11,
18146639,"Leuk, groen en gezellig appartement in Deurne.",19498256,Dennis,,Deurne Dorp - Gallifort,51.22094,4.47091,Entire home/apt,174,10,8,2024-09-10,0.08,1,270,0,
18322026,"Zeer gezellig en ruim appartement, ideaal gelegen",9072712,Kristof,,Amandus - Atheneum,51.22106,4.41782,Entire home/apt,,2,55,2022-09-25,0.55,1,0,0,
18475342,Apartment Brabo  Antwerp historic center,128148374,Jan&Hong,,Historisch Centrum,51.21812,4.39843,Entire home/apt,94,4,20,2025-05-04,0.20,5,321,1,
18507108,Studio Smurfen  Antwerp historic center,128148374,Jan&Hong,,Theaterbuurt-Meir,51.21721,4.40664,Entire home/apt,76,7,42,2025-07-28,0.41,5,294,3,
18823301,"Cosy house with garden, close to city centre",131063210,Wim,,Linkeroever,51.22277,4.38393,Entire home/apt,,4,11,2025-08-03,0.11,1,0,2,
18849323,Apartment next to nature parc near Antwerp city,7115121,Patricia En Maarten,,Hoboken - Centrum,51.18221,4.3471,Entire home/apt,,3,38,2025-08-16,0.76,1,0,6,
18931281,Suites Hotel Colvenier,131962395,Patrick,,Sint-Andries,51.21576,4.39957,Private room,341,1,1,2022-10-30,0.03,1,178,0,
19028126,Romantic Gem in Antwerp’s Historic City Center,45715457,Susha,,Historisch Centrum,51.22212,4.39978,Entire home/apt,,2,138,2020-09-04,1.38,1,0,0,
19062948,Expat/work/internship_Small apartment (Long term),60756836,Ann,,Brederode,51.2029,4.39597,Entire home/apt,62,30,6,2024-08-31,0.06,2,334,0,
19091628,Charming house with terrace 10min From citycenter,119434410,Sarah,,Groenenhoek,51.20208,4.4398,Entire home/apt,124,2,128,2025-08-17,1.29,1,316,5,
19110897,Room with private shower room,133412495,Pieter,,Zuid,51.21049,4.39551,Private room,75,2,150,2025-08-24,1.51,1,352,12,
19139841,"Place to Stay, garage, bright apartment, sunset",13145096,Veerle,,Amandus - Atheneum,51.22337,4.41618,Entire home/apt,,2,12,2021-04-11,0.12,4,0,0,
19311378,Turquoise cozy fun apartment,110993942,Rev,,Centraal Station,51.21777,4.42357,Entire home/apt,85,2,14,2024-12-08,0.14,16,340,2,
19311990,Black and red apartment with a view,110993942,Rev,,Centraal Station,51.21815,4.42417,Entire home/apt,139,2,43,2025-05-10,0.43,16,312,3,
19597739,Bright and cosy apartment in old city centre,64812114,Joachim,,Historisch Centrum,51.2196,4.39964,Entire home/apt,89,2,314,2025-09-07,3.18,1,336,43,
19763523,Riverside design apartment,14968355,Steven,,Historisch Centrum,51.22388,4.39908,Entire home/apt,100,28,16,2025-07-01,0.16,1,119,3,
19815144,Nice apartment in a townhouse in the centre.,109618168,Chantal & Christian,,Borgerhout Intra Muros Noord,51.2173,4.43196,Entire home/apt,93,2,101,2025-05-07,1.03,4,221,6,
19989893,Stylishly furnished private home in a vibrant area,27223858,Veerle,,Haringrode,51.20164,4.41525,Entire home/apt,76,2,187,2025-09-07,1.89,1,274,24,
19997718,Private cozy STUDIO,51220436,Jose,,Groenenhoek,51.20127,4.44165,Entire home/apt,,4,161,2025-08-29,1.71,1,55,27,
20087301,Design room in the city centre of Antwerp,142823788,Dirk,,Historisch Centrum,51.2193,4.40458,Private room,48,1,486,2025-09-07,4.95,2,236,43,
20168816,Elegant design room in the city centre of Antwerp,142823788,Dirk,,Universiteitsbuurt,51.22063,4.40617,Private room,48,1,539,2025-09-12,5.49,2,247,47,
20263685,B - Gezellige studio op een TOP locatie,135610682,Leentje,,Historisch Centrum,51.22076,4.4039,Entire home/apt,91,2,454,2025-09-07,4.70,4,323,42,
20318096,Warm welcoming place!,15529473,Liesbeth,,Stuivenberg,51.21856,4.43249,Private room,,1,77,2020-02-15,0.78,2,0,0,
20406122,Cosy top floor studio with private shower+toilet,1034658,Lenny,,Stuivenberg,51.22006,4.43576,Private room,,2,94,2025-02-24,0.97,1,85,4,
20676903,"Mooie kamer met keuken, badkamer en privé terras",77953413,Stefan En Eva,,Borgerhout Intra Muros Zuid,51.2109,4.43567,Private room,,4,25,2021-08-29,0.25,2,0,0,
20772851,Central Station | 3 pers. room in shared apt.,24867394,Gaïtano,,Amandus - Atheneum,51.219164,4.421884,Private room,44,2,129,2025-09-26,1.71,3,58,40,
20796226,Lovely apartment in Antwerp centre,65855928,Jo,,Stadspark,51.20964,4.41097,Entire home/apt,89,10,91,2025-09-07,0.93,5,243,4,
20825768,beautiful city view purple apartment,110993942,Rev,,Amandus - Atheneum,51.21885,4.4225,Entire home/apt,135,2,23,2024-04-29,0.24,16,326,0,
20856073,Cosy studio in Antwerp city centre,65855928,Jo,,Stadspark,51.20935,4.41148,Entire home/apt,58,10,120,2025-06-27,1.22,5,115,5,
20942852,"PM87 - Modern, stylish home",150558275,Zeynep,,Universiteitsbuurt,51.22485,4.41086,Entire home/apt,107,1,530,2025-09-07,5.45,1,174,52,
20994541,Mindblowing little penthouse in Antwerp!,25674863,Sam,,Groenenhoek,51.20237,4.43912,Entire home/apt,93,7,10,2025-07-08,0.13,2,216,3,
